"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 00:08:23 NOVT 2022","Mon May 30 00:08:24 NOVT 2022","855","tests","test_catalog_page","TestCatalogPage","","","test_navbar[components-webcameras]",""
"passed","Mon May 30 00:08:43 NOVT 2022","Mon May 30 00:08:44 NOVT 2022","967","tests","test_catalog_page","TestCatalogPage","","","test_menu[components-mice]",""
"passed","Mon May 30 00:08:29 NOVT 2022","Mon May 30 00:08:30 NOVT 2022","977","tests","test_catalog_page","TestCatalogPage","","","test_navbar[phones-phones]",""
"passed","Mon May 30 00:08:48 NOVT 2022","Mon May 30 00:08:49 NOVT 2022","926","tests","test_catalog_page","TestCatalogPage","","","test_menu[components-webcameras]",""
"passed","Mon May 30 00:10:32 NOVT 2022","Mon May 30 00:10:32 NOVT 2022","768","tests","test_search_page","TestSearchFromMainPage","","","test_search_product[success]",""
"passed","Mon May 30 00:09:32 NOVT 2022","Mon May 30 00:09:41 NOVT 2022","9081","tests","test_main_page","TestMainPage","","","test_click_on_powered_by",""
"passed","Mon May 30 00:10:31 NOVT 2022","Mon May 30 00:10:31 NOVT 2022","634","tests","test_search_page","TestSearchFromMainPage","","","test_click_search_button_no_text",""
"passed","Mon May 30 00:08:34 NOVT 2022","Mon May 30 00:08:35 NOVT 2022","847","tests","test_catalog_page","TestCatalogPage","","","test_menu[desktops-pc]",""
"passed","Mon May 30 00:09:13 NOVT 2022","Mon May 30 00:09:14 NOVT 2022","870","tests","test_catalog_page","TestCatalogPage","","","test_select_show[50]",""
"passed","Mon May 30 00:08:11 NOVT 2022","Mon May 30 00:08:11 NOVT 2022","559","tests","test_catalog_page","TestCatalogPage","","","test_navbar[desktops-pc]",""
"passed","Mon May 30 00:10:05 NOVT 2022","Mon May 30 00:10:05 NOVT 2022","334","tests","test_register_account_page","TestRegisterAccountPage","","","test_check_agree",""
